"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"11/12/2017","Black Locust Cafe","GROUND ZERO","2.00","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/12/2017","Steven Even","SP * STEVENEVEN.COM","15.53","debit","Business Services","CHASE FREEDOM UNLIMITED","",""
"11/12/2017","Trader Joe's","TRADER JOE'S #712  QPS","43.19","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"11/12/2017","Central Checkout Hilld","CENTRAL CHECKOUT MADISON HILLD WI C_MISCELLANEOUS","23.18","debit","Groceries","Target Credit Card","",""
"11/10/2017","Transfer to BofA Core Checking","ACH Withdrawal BANK OF AMERICA, NA","1000.00","debit","Transfer","DP ONLINE SAVINGS","",""
"11/10/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.11","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/09/2017","Uw Wisc Union","UW MADISON WISC UNION","3.01","debit","Alcohol & Bars","CHASE FREEDOM UNLIMITED","",""
"11/08/2017","Madison Gas & Electric Co","MADISONGAS&ELECT DES:UTILITYPMT ID:4033370 INDN:JEFFREY F PICCIRILLO...","32.77","debit","Utilities","BofA Core Checking","",""
"11/07/2017","Trader Joe's","TRADER JOE'S #712  QPS","39.91","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"11/06/2017","Robin Room","SQ *THE ROBIN ROOM","19.00","debit","Alcohol & Bars","CHASE FREEDOM UNLIMITED","",""
"11/05/2017","Colectivo Coffee","COLECTIVO COFFEE ROAST","6.02","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/05/2017","Mother Fools","Mother Fools","3.00","debit","Coffee Shops","Cash","",""
"11/04/2017","Colectivo Coffee","Colectivo Coffee","2.00","debit","Coffee Shops","Cash","",""
"11/03/2017","Colectivo Coffee","COLECTIVO COFFEE-STATE","2.06","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/03/2017","Espresso Royale Llc","SQ *ESPRESSO ROYALE,LLC","2.82","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/02/2017","Check 516","Check 518","810.00","debit","Mortgage & Rent","BofA Core Checking","",""
"11/02/2017","Charter Communications","CHARTER COMM","42.19","debit","Internet","CHASE FREEDOM UNLIMITED","",""
"11/02/2017","Uw Wisc Union","UW MADISON WISC UNION","2.22","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"11/02/2017","Uw Wisc Union","UW MADISON WISC UNION","6.86","debit","Fast Food","CHASE FREEDOM UNLIMITED","",""
"11/01/2017","Interest Paid","Interest Paid","25.84","credit","Interest Income","DP ONLINE SAVINGS","",""
"10/31/2017","Anytime Fitness","ABC*Anytime Fitness","42.00","debit","Gym","CHASE FREEDOM UNLIMITED","",""
"10/31/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","1.85","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/30/2017","Black Locust Cafe","Black Locust Cafe","3.00","debit","Coffee Shops","Cash","",""
"10/29/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","4.64","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/29/2017","Indie Coffee","SQ *INDIE COFFEE LLC","4.46","debit","Fast Food","CHASE FREEDOM UNLIMITED","",""
"10/29/2017","Trader Joe's","TRADER JOE'S #712  QPS","19.51","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"10/29/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","7.33","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/27/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","5.06","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/27/2017","Barriques","BARRIQUES - 4","4.52","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/26/2017","Central Checkout Hilld","CENTRAL CHECKOUT MADISON HILLD WI C_MISCELLANEOUS","58.04","debit","Groceries","Target Credit Card","",""
"10/26/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","6.86","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/26/2017","Hy-Vee","HY VEE 1184","13.57","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"10/25/2017","Willy St Op","WILLY ST. CO-OP","4.50","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"10/24/2017","Colectivo Coffee","COLECTIVO COFFEE-STATE","2.48","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/23/2017","Chase","CHASE CREDIT CRD DES:AUTOPAY ID:XXXXX0000316221 INDN:PICCIRILLO...","666.96","debit","Credit Card Payment","BofA Core Checking","",""
"10/23/2017","Target","TARGET CARD SRVC DES:AUTO PYMT ID:XXXXX0060443579 INDN: PICCIRILLO...","140.33","debit","Credit Card Payment","BofA Core Checking","",""
"10/23/2017","Capitol Centre Food","CAPITOL CENTRE FOOD","7.98","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"10/23/2017","Deposit Jpmorgan Chase","ACH Deposit From JPMorgan Chase","391.60","credit","Transfer","DP ONLINE SAVINGS","",""
"10/22/2017","Auto","AUTO PAYMENT C_DEPARTMENTSTORE","140.33","credit","Credit Card Payment","Target Credit Card","",""
"10/22/2017","Ians Pizza","IANS PIZZA ON STATE","8.00","debit","Fast Food","CHASE FREEDOM UNLIMITED","",""
"10/22/2017","Porter","SQ *PORTER","4.22","debit","Restaurants","CHASE FREEDOM UNLIMITED","",""
"10/22/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","7.49","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/20/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.48","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/20/2017","Automatic Thank","AUTOMATIC PAYMENT - THANK","666.96","credit","Credit Card Payment","CHASE FREEDOM UNLIMITED","",""
"10/19/2017","Forequarter","SQ *FOREQUARTER","19.41","debit","Restaurants","CHASE FREEDOM UNLIMITED","",""
"10/19/2017","Online Transfer Di","Online Transfer 6604376945 to Discover Savings ######6502 transa","391.60","debit","Transfer","CHASE COLLEGE","",""
"10/18/2017","Central Checkout Hilld","CENTRAL CHECKOUT MADISON HILLD WI C_MISCELLANEOUS","48.49","debit","Groceries","Target Credit Card","",""
"10/18/2017","Account Maintenance Fee","MONTHLY SERVICE FEE","6.00","debit","Bank Fee","CHASE COLLEGE","",""
"10/18/2017","Espresso Royale Llc","SQ *ESPRESSO ROYALE,LLC","4.06","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/18/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","1.85","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/18/2017","Whole Foods","WHOLEFDS MAD 10043","10.03","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"10/17/2017","Sprint PCS","SPRINT *WIRELESS","64.48","debit","Mobile Phone","CHASE FREEDOM UNLIMITED","",""
"10/16/2017","Walgreens","WALGREENS #4155","16.17","debit","Pharmacy","CHASE FREEDOM UNLIMITED","",""
"10/16/2017","Espresso Royale Llc","SQ *ESPRESSO ROYALE,LLC","3.64","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/15/2017","Walgreens","WALGREENS #4155","8.96","debit","Pharmacy","CHASE FREEDOM UNLIMITED","",""
"10/15/2017","Walgreens","WALGREENS #4155","1.49","debit","Pharmacy","CHASE FREEDOM UNLIMITED","",""
"10/13/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","7.49","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/12/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.06","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/11/2017","Madison Gas & Electric Co","MADISONGAS&ELECT DES:UTILITYPMT ID:5591865 INDN:JEFFREY F PICCIRILLO...","35.36","debit","Utilities","BofA Core Checking","",""
"10/10/2017","Venmo","VENMO DES:PAYMENT ID:XXXXX3798 INDN:JEFFREY PICCIRILLO CO ID:XXXXX81992 WEB","20.00","debit","Transfer","BofA Core Checking","",""
"10/10/2017","Venmo","VENMO DES:PAYMENT ID:XXXXX5217 INDN:JEFFREY PICCIRILLO CO ID:XXXXX81992 WEB","14.50","debit","Transfer","BofA Core Checking","",""
"10/10/2017","Great Dane Pub","THE GREAT DANE PUB AND BR","9.76","debit","Restaurants","CHASE FREEDOM UNLIMITED","",""
"10/10/2017","Kung Fu Tea","KUNG FU TEA","4.75","debit","Amusement","CHASE FREEDOM UNLIMITED","",""
"10/09/2017","Buffet","Buffet","14.50","debit","Restaurants","Venmo","",""
"10/09/2017","Lunch","Lunch","3.50","debit","Fast Food","Venmo","",""
"10/09/2017","Ace Hdwe Center","ACE HDWE CENTER","15.05","debit","Home Improvement","CHASE FREEDOM UNLIMITED","",""
"10/09/2017","Budget Bicycle Center Inc.","BUDGET BICYCLE CENTER","21.10","debit","Sporting Goods","CHASE FREEDOM UNLIMITED","",""
"10/09/2017","Gibs","GIBS","9.00","debit","Alcohol & Bars","CHASE FREEDOM UNLIMITED","",""
"10/09/2017","Gibs","GIBS","9.50","debit","Alcohol & Bars","CHASE FREEDOM UNLIMITED","",""
"10/08/2017","Food","Food","20.00","debit","Food & Dining","Venmo","",""
"10/08/2017","Big Lots","BIG LOTS #5307","4.69","debit","Home Supplies","CHASE FREEDOM UNLIMITED","",""
"10/08/2017","Colectivo Coffee","COLECTIVO COFFEE-STATE","2.48","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/08/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.48","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/08/2017","BP","BP#6254551STOP N GO 287","36.12","debit","Gas & Fuel","CHASE FREEDOM UNLIMITED","",""
"10/08/2017","Uw Wisc Union","UW MADISON WISC UNION","6.01","debit","Alcohol & Bars","CHASE FREEDOM UNLIMITED","",""
"10/06/2017","Central Checkout Hilld","CENTRAL CHECKOUT MADISON HILLD WI C_MISCELLANEOUS","33.51","debit","Groceries","Target Credit Card","",""
"10/06/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.06","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/05/2017","Colectivo Coffee","COLECTIVO COFFEE-STATE","5.27","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"10/04/2017","Shell","SHELL OIL 57443310503","34.74","debit","Gas & Fuel","CHASE FREEDOM UNLIMITED","",""
"10/03/2017","Check 516","Check 517","810.00","debit","Mortgage & Rent","BofA Core Checking","",""
"10/02/2017","Cash Gas For Oct Jeffrey Visit Home","Cash Gas For Oct Parent Visit","60.00","credit","Gas & Fuel","Cash","Reimbursable",""
"10/02/2017","For Southwest Ticket","credit for southwest ticket","280.00","credit","Income","BofA Core Checking","",""
"10/02/2017","Charter Communications","CHARTER COMM","102.52","debit","Internet","CHASE FREEDOM UNLIMITED","",""
"10/01/2017","Love's Country Stores","LOVES COUNTRY 00003228","35.31","debit","Gas & Fuel","CHASE FREEDOM UNLIMITED","",""
"10/01/2017","Mississippi Mud Gallery","MISSISSIPPI MUD GALLERY","2.12","debit","Gifts & Donations","CHASE FREEDOM UNLIMITED","",""
"10/01/2017","Anytime Fitness","ABC*Anytime Fitness","42.00","debit","Gym","CHASE FREEDOM UNLIMITED","",""
"9/30/2017","Interest Paid","Interest Paid","24.23","credit","Interest Income","DP ONLINE SAVINGS","",""
"9/29/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","1.85","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/28/2017","Potbelly Sandwich Works","POTBELLY #34","6.96","debit","Fast Food","CHASE FREEDOM UNLIMITED","",""
"9/28/2017","Colectivo Coffee","COLECTIVO COFFEE-STATE","2.06","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/27/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.06","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/26/2017","Riley's Wines of The World","RILEYS WINES OF THE WORLD","7.37","debit","Alcohol & Bars","CHASE FREEDOM UNLIMITED","",""
"9/26/2017","Trader Joe's","TRADER JOE'S #712  QPS","6.25","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"9/26/2017","Central Checkout Hilld","CENTRAL CHECKOUT MADISON HILLD WI C_MISCELLANEOUS","47.79","debit","Groceries","Target Credit Card","",""
"9/25/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.06","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/25/2017","Target","TARGET CARD SRVC DES:AUTO PYMT ID:XXXXX0060443579 INDN: PICCIRILLO...","29.02","debit","Credit Card Payment","BofA Core Checking","",""
"9/24/2017","Uber to UW Union with Max","Cash debit","13.00","debit","Rental Car & Taxi","Venmo","",""
"9/24/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","9.39","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/24/2017","Colectivo Coffee","COLECTIVO COFFEE-STATE","8.28","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/22/2017","Auto","AUTO PAYMENT C_DEPARTMENTSTORE","29.02","credit","Credit Card Payment","Target Credit Card","",""
"9/22/2017","Colectivo Coffee","COLECTIVO COFFEE ROAST","6.59","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/21/2017","Chase","CHASE CREDIT CRD DES:AUTOPAY ID:XXXXX0000160833 INDN:PICCIRILLO...","1202.12","debit","Credit Card Payment","BofA Core Checking","",""
"9/21/2017","Trader Joe's","TRADER JOE'S #712  QPS","18.62","debit","Alcohol & Bars","CHASE FREEDOM UNLIMITED","",""
"9/21/2017","Colectivo Coffee","COLECTIVO COFFEE-STATE","2.48","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/20/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.06","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/20/2017","Automatic Thank","AUTOMATIC PAYMENT - THANK","1202.12","credit","Credit Card Payment","CHASE FREEDOM UNLIMITED","",""
"9/19/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.27","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/18/2017","Whole Foods","WHOLEFDS MAD 10043","12.15","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"9/18/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.06","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/18/2017","Festival","FESTIVAL FOODS","5.28","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"9/17/2017","Central Checkout Hilld","CENTRAL CHECKOUT MADISON HILLD WI C_MISCELLANEOUS","35.55","debit","Groceries","Target Credit Card","",""
"9/17/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","9.39","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/17/2017","Gibs","GIBS","14.00","debit","Alcohol & Bars","CHASE FREEDOM UNLIMITED","",""
"9/17/2017","Sprint PCS","SPRINT *WIRELESS","64.48","debit","Mobile Phone","CHASE FREEDOM UNLIMITED","",""
"9/17/2017","Red Letter News","RED LETTER NEWS 77","12.65","debit","Books","CHASE FREEDOM UNLIMITED","",""
"9/15/2017","Colectivo Coffee","COLECTIVO COFFEE-STATE","2.48","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/14/2017","Willy St Op","WILLY ST. CO-OP","3.29","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"9/13/2017","Whole Foods","WHOLEFDS MAD 10043","18.71","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"9/13/2017","Fair Trade Coffee Inc","SQ *FAIR TRADE COFFEE HOU","3.53","debit","Fast Food","CHASE FREEDOM UNLIMITED","",""
"9/13/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.06","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/12/2017","Check 630","Check 630","2733.17","debit","Tuition","BofA Core Checking","",""
"9/11/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.74","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/10/2017","Uw Wisc Union","UW MADISON WISC UNION","3.43","debit","Fast Food","CHASE FREEDOM UNLIMITED","",""
"9/10/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","1.85","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/10/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","7.07","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/09/2017","Central Checkout Hilld","CENTRAL CHECKOUT MADISON HILLD WI C_MISCELLANEOUS","56.65","debit","Groceries","Target Credit Card","",""
"9/08/2017","Madison Gas & Electric Co","MADISONGAS&ELECT DES:UTILITYPMT ID:2947330 INDN:JEFFREY F PICCIRILLO...","15.17","debit","Utilities","BofA Core Checking","",""
"9/08/2017","Online Banking Transfer","Online Banking transfer from CHK 1976 Confirmation# 1387915897","2733.00","credit","Tuition","BofA Core Checking","",""
"9/08/2017","Zybooks Tboo","ZYBOOKS COLLEGE TXTBOO","78.00","debit","Books","CHASE FREEDOM UNLIMITED","",""
"9/08/2017","Tophat.com","TOPHAT.COM","20.00","debit","Books & Supplies","CHASE FREEDOM UNLIMITED","",""
"9/08/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","5.07","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/07/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","8.92","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/06/2017","Bassett Street Brunch","Bassett Street Brunch Clu","14.84","debit","Restaurants","CHASE FREEDOM UNLIMITED","",""
"9/06/2017","Check 516","Check 629","810.00","debit","Mortgage & Rent","BofA Core Checking","",""
"9/06/2017","Central Checkout Hilld","CENTRAL CHECKOUT MADISON HILLD WI C_MISCELLANEOUS","11.83","debit","Groceries","Target Credit Card","",""
"9/05/2017","Monty Blue Plate","Monty's Blue Plate Diner","12.54","debit","Restaurants","CHASE FREEDOM UNLIMITED","",""
"9/05/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.06","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/05/2017","Walgreens","WALGREENS #4155","20.15","debit","Pharmacy","CHASE FREEDOM UNLIMITED","",""
"9/04/2017","Festival","FESTIVAL FOODS","4.68","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"9/04/2017","Shell","SHELL OIL 54849800062","39.05","debit","Gas & Fuel","CHASE FREEDOM UNLIMITED","",""
"9/04/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","1.85","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/03/2017","Great Dane Pub","THE GREAT DANE PUB AND BR","16.00","debit","Alcohol & Bars","CHASE FREEDOM UNLIMITED","",""
"9/03/2017","Subway","SUBWAY        03396884","7.39","debit","Fast Food","CHASE FREEDOM UNLIMITED","",""
"9/03/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","7.07","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"9/03/2017","Walgreens","WALGREENS #4155","2.10","debit","Pharmacy","CHASE FREEDOM UNLIMITED","",""
"9/03/2017","Olbrich Botanical Gardens","OLBRICH BOTANICAL SOCIE","13.00","debit","Entertainment","CHASE FREEDOM UNLIMITED","",""
"9/02/2017","Central Checkout Hilld","CENTRAL CHECKOUT MADISON HILLD WI C_MISCELLANEOUS","36.30","debit","Groceries","Target Credit Card","",""
"9/01/2017","Epic Systems Cor","Epic Systems Cor DES:Payroll ID:XXXXX0990 INDN:Piccirillo Jeffrey...","2216.32","credit","Income","BofA Core Checking","",""
"9/01/2017","Interest Paid","Interest Paid","24.71","credit","Interest Income","DP ONLINE SAVINGS","",""
"8/31/2017","Colectivo Coffee","COLECTIVO COFFEE-STATE","7.49","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"8/31/2017","Anytime Fitness","ABC*Anytime Fitness","42.00","debit","Gym","CHASE FREEDOM UNLIMITED","",""
"8/31/2017","Ians Pizza","IANS PIZZA ON STATE","8.00","debit","Restaurants","CHASE FREEDOM UNLIMITED","",""
"8/30/2017","Robin Room","SQ *THE ROBIN ROOM","66.00","debit","Alcohol & Bars","CHASE FREEDOM UNLIMITED","",""
"8/30/2017","Colectivo Coffee","COLECTIVO COFFEE ROAST","7.07","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"8/30/2017","Wi Dot Tvr","WI DOT TVR DES:WI DOT TVR ID:WISTVR018162401...","75.00","debit","Auto & Transport","BofA Core Checking","",""
"8/30/2017","Cash For Robin Room","Cash For Robin Room","20.00","credit","Restaurants","Cash","",""
"8/30/2017","Batch Bakery","Batch Bakery","3.75","debit","Restaurants","Cash","",""
"8/30/2017","Lazy Jane's","Lazy Jane's","2.50","debit","Coffee Shops","Cash","",""
"8/29/2017","Ground Zero","GROUND ZERO","5.01","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"8/28/2017","Madison Gas & Electric Co","MADISONGAS&ELECT DES:UTILITYPMT ID:7162531 INDN:JEFFREY F PICCIRILLO...","49.82","debit","Utilities","BofA Core Checking","",""
"8/28/2017","Colectivo Coffee","COLECTIVO COFFEE-STATE","2.48","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"8/27/2017","Festival","FESTIVAL FOODS","7.78","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"8/27/2017","Colectivo Coffee","COLECTIVO COFFEE-MADIS","2.06","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"8/27/2017","Loves Travel","LOVES TRAVEL S00095786","34.66","debit","Travel","CHASE FREEDOM UNLIMITED","",""
"8/27/2017","Festival","FESTIVAL FOODS","34.50","debit","Groceries","CHASE FREEDOM UNLIMITED","",""
"8/24/2017","Security Deposit return elan","Check Deposit","350.00","credit","Mortgage & Rent","DP ONLINE SAVINGS","",""
"8/24/2017","Transfer to Target Credit Card","TARGET CARD SRVC DES:AUTO PYMT ID:XXXXX0060443579 INDN: PICCIRILLO...","142.43","debit","Credit Card Payment","BofA Core Checking","",""
"8/23/2017","iTunes","APL* ITUNES.COM/BILL","1.04","debit","Electronics & Software","CHASE FREEDOM UNLIMITED","",""
"8/23/2017","Ju","JUST JOHN","6.50","debit","Alcohol & Bars","CHASE FREEDOM UNLIMITED","",""
"8/23/2017","Mission Taco Joint","MISSION TACO JOINT- DELMA","13.84","debit","Restaurants","CHASE FREEDOM UNLIMITED","",""
"8/23/2017","Kayak By Kaldi","KAYAK'S BY KALDI'S","4.35","debit","Coffee Shops","CHASE FREEDOM UNLIMITED","",""
"8/22/2017","Auto","AUTO PAYMENT C_DEPARTMENTSTORE","142.43","credit","Credit Card Payment","Target Credit Card","",""
"8/22/2017","Taste St Louis","TASTE ST. LOUIS","16.86","debit","Alcohol & Bars","CHASE FREEDOM UNLIMITED","",""
"8/22/2017","Transfer from BofA Core Checking","AUTO PAYMENT C_DEPARTMENTSTORE","142.43","credit","Credit Card Payment","Target Credit Card","",""
"8/21/2017","Chase","CHASE CREDIT CRD DES:AUTOPAY ID:XXXXX0000159036 INDN:PICCIRILLO...","344.32","debit","Credit Card Payment","BofA Core Checking","",""
